"date" "rain" "flow" "temp_medio" "u2" "Eto"
"44" "ago/83" 10.4 5786 23.1034676714033 1.88336310298149 141.451164442749
"45" "set/83" 25.39 4600 25.6855160652445 1.88820973705261 145.219228090535
"46" "out/83" 81.95 6058 25.2817871372792 1.90604267884161 150.33668626572
"47" "nov/83" 193.99 11557 25.2871487614258 1.49867309792804 133.8962992315
"48" "dez/83" 180.66 17700 24.9187660965447 1.44178138854633 136.839057080063
"49" "jan/84" 80.45 19515 25.4766290900137 1.3722679654474 156.222957143481
"50" "fev/84" 61.63 9732 26.2599093353166 1.50903232279373 149.979360550782
"51" "mar/84" 153.02 8327 25.3182112335928 1.22396498845641 128.536679353233
"52" "abr/84" 106.37 12127 23.994796501013 1.4005148844878 108.965618271363
"53" "mai/84" 22.96 6152 23.6428042318191 1.41228763326127 112.10324239381
"54" "jun/84" 7.04 4319 22.5704580211867 1.68301376996792 107.425192126086
"55" "jul/84" 18.52 3791 22.0931814913199 1.91593569869523 116.17150474644
"56" "ago/84" 27.18 3412 23.3207046425114 1.87095938770654 132.213142892005
"57" "set/84" 49.67 4087 24.171452645001 1.83499988520486 142.44800744608
"58" "out/84" 85.14 4355 25.4164209121521 1.7888831659479 159.319441048192
"59" "nov/84" 88.97 5364 25.6558416817832 1.74265726430397 158.299356723895
"60" "dez/84" 137.55 11251 25.8225716683335 1.44590114320255 145.402254827426
"61" "jan/85" 396.01 17606 24.0664238711805 1.38143661408696 104.824038905297
"62" "fev/85" 106.52 24677 24.8352450298433 1.16848776021899 126.244943897489
"63" "mar/85" 165.63 22297 24.8946791539249 1.21838579755477 121.453302340888
"64" "abr/85" 107.77 21552 23.9851279310371 1.25463998937959 109.09506383944
"65" "mai/85" 38.35 9774 23.3345979815531 1.41730816671959 107.623359007035
"66" "jun/85" 27.97 6050 21.090488284493 1.49573498859314 95.8738907285979
"67" "jul/85" 14.38 4849 21.1797709096917 2.05796147447052 115.091166528598
"68" "ago/85" 17.19 4301 23.2481992970241 1.89156478164371 136.856448548501
"69" "set/85" 54.44 4175 24.5085517746223 1.83535939718776 144.57164695733
"70" "out/85" 93.91 5244 25.1734570352872 1.47624385432532 141.358545218555
"71" "nov/85" 131.77 6758 24.8335713205961 1.51262447321481 138.206427750313
"72" "dez/85" 297.39 10250 23.7265056705053 1.21976395584863 113.12771960939
"73" "jan/86" 162.86 18145 24.6206419638298 1.55841649363984 146.950382164107
"74" "fev/86" 124.52 22845 24.9091589425801 1.41616819500061 132.701788371717
"75" "mar/86" 110.14 15433 24.9102197289967 1.41987722058215 138.576690824099
"76" "abr/86" 62.09 7504 24.8121987490577 1.5012438564315 124.662990043701
"77" "mai/86" 38.39 5548 23.6365390828285 1.5540177926024 113.179861474345
"78" "jun/86" 24.5 4140 21.2991337563018 1.57961114713622 104.807944936512
"79" "jul/86" 28.14 3854 21.4636747348796 1.74436016666714 104.563909806976
"80" "ago/86" 31.3 3826 23.1293140307153 1.7661025983637 127.545646033097
"81" "set/86" 13.76 3556 23.7897616213269 1.91146049387928 146.934840614387
"82" "out/86" 61.1 3057 24.7145970297245 1.84745399161212 149.285666848992
"83" "nov/86" 80.12 3443 25.1342079941929 1.63522817385128 153.907202682305
"84" "dez/86" 168.74 5657 25.1058447555947 1.53137239652392 141.337187876724
"85" "jan/87" 89.91 9786 25.8149360925854 1.55317643461838 160.621452474818
"86" "fev/87" 49.92 8151 26.2271384936106 1.95843194884708 151.466588151847
"87" "mar/87" 174 7954 25.1439508197127 1.44941230767873 129.051494823095
"88" "abr/87" 97.33 9023 24.4929862223583 1.4593722710313 117.138686285612
"89" "mai/87" 28.88 5436 24.1839609331304 1.36773311299886 113.902269549633
"90" "jun/87" 18.97 3681 22.6260461083757 1.50218073952016 94.7208785539222
"91" "jul/87" 16.14 3351 22.491339569743 1.54319517286958 106.077282382289
"92" "ago/87" 4.88 2666 23.6654684652292 1.66431515730661 129.574445484949
"93" "set/87" 29.36 2614 25.0514607701383 1.94596800610003 149.396167593523
"94" "out/87" 41.15 2941 26.8656484964906 1.83758067144678 175.555903424959
"95" "nov/87" 143.52 4207 25.8338166207281 1.73403407824874 145.705775300102
"96" "dez/87" 237.73 10491 25.1289588048147 1.57189532554822 135.565033931967
"97" "jan/88" 122.59 16025 25.8320090691609 1.6149782181778 162.291851347881
"98" "fev/88" 120.56 11356 26.2052454443246 1.65131048109369 146.470058064785
"99" "mar/88" 190.94 13520 25.2062730642729 1.44601570972367 129.397219745346
"100" "abr/88" 105.52 10242 25.0102691332139 1.45226221326943 117.904130990936
"101" "mai/88" 14.14 6412 24.0476283648381 1.34070686526471 111.860969651053
"102" "jun/88" 21.35 3847 21.8802948331635 1.71382001166659 97.2876651650863
"103" "jul/88" 23.69 3244 21.0942108134631 1.76244020790277 115.857678844335
"104" "ago/88" 13.25 3260 21.5859339912002 2.05569731102339 130.745038655023
"105" "set/88" 20.17 3123 24.251029985708 2.11444799924657 155.414705894783
"106" "out/88" 81.93 3240 25.3370858215137 1.8879456130107 156.89881132704
"107" "nov/88" 112.28 5009 24.9667910345207 1.80298824821058 146.072627876566
"108" "dez/88" 236.05 7515 24.2865890989583 1.3837853823555 133.526130349283
"109" "jan/89" 82.33 11260 25.2649710452181 1.61105056036183 158.693321300225
"110" "fev/89" 99.48 7968 25.7080899245211 1.49714370637927 139.189434509322
"111" "mar/89" 131.79 9373 25.218428045358 1.5371084184918 137.727455180296
"112" "abr/89" 60.52 5721 24.7165621024548 1.13582192621542 116.503926976746
"113" "mai/89" 44.35 4024 22.7584205019728 1.22467387954173 105.67940600951
"114" "jun/89" 31.03 3163 22.3080146652473 1.10607186826252 93.431298539812
"115" "jul/89" 39.12 3089 21.3962726239809 1.3100195295311 106.177144715064
"116" "ago/89" 13.98 2916 23.0987484129063 1.63891790472349 129.556252526286
"117" "set/89" 36.15 2729 25.3135228814274 1.39568209146413 142.422360351808
"118" "out/89" 58.32 2896 25.3017184023261 1.42083975699915 147.022436775512
"119" "nov/89" 173.48 5191 25.0269482170342 1.30166184176634 131.665144690885
"120" "dez/89" 498.89 17434 23.3643421305612 1.25119739021205 102.426746284598
"121" "jan/90" 51.97 27552 25.466176642693 1.38742584423671 160.392057315005
"122" "fev/90" 126.95 12315 25.308982408308 1.19214443231937 121.615858889522
"123" "mar/90" 59.21 9534 25.6399372040022 1.1382521932247 142.166752816646
"124" "abr/90" 40.17 6510 25.4445298757696 1.17736064077695 126.604132060574
"125" "mai/90" 34.63 4164 23.8717996080047 1.18934539372422 109.502753938168
"126" "jun/90" 11.81 3262 22.5648517806591 1.31230748944649 100.40271993758
"127" "jul/90" 35.96 3343 22.4856775305915 1.31372267256745 107.260596622883
"128" "ago/90" 23.14 3086 23.3151766264492 1.86269670021504 137.288124181295
"129" "set/90" 26.43 3103 24.6551710941427 1.63251135346942 143.483221956682
"130" "out/90" 54.5 3390 25.6707227837779 1.79755348668087 154.889839822698
"131" "nov/90" 183.56 4118 25.9793025682404 1.48641957995046 153.587281236906
"132" "dez/90" 104.82 4721 25.5467278085217 1.36800063183644 150.566904716089
"133" "jan/91" 228.25 10371 24.648616252865 1.30529661838252 128.094672751539
"134" "fev/91" 124 16051 25.5605419319773 1.35466685384233 128.796939819072
"135" "mar/91" 193.92 14597 24.9709416758873 1.37875831676186 127.11017473105
"136" "abr/91" 56.74 15961 24.6491692286248 1.41219628530559 123.436376911794
"137" "mai/91" 24.04 7841 23.1736387329316 1.67387052671116 114.376352706985
"138" "jun/91" 12.85 4715 22.4750951531874 1.66146887299577 109.02824486897
"139" "jul/91" 7.72 3780 21.2372833615969 1.98112041156107 118.465291796576
"140" "ago/91" 13.65 3431 21.9718054937047 2.18884478367027 137.004863904675
"141" "set/91" 24.72 3215 23.7615319282809 1.82453283680973 136.611137548243
"142" "out/91" 50.5 4157 25.4355934452628 1.9494415256919 169.227793345569
"143" "nov/91" 177.67 5785 24.931929998665 1.42454411795068 130.054584119521
"144" "dez/91" 147.95 9597 25.0155138820706 1.29000078506433 133.925806473119
"145" "jan/92" 357.39 14583 23.9652939450394 1.32318032257271 108.695086033691
"146" "fev/92" 212.3 27797 23.2460803969482 1.31826827151018 106.771381770361
"147" "mar/92" 68.06 39325 24.6287608633866 1.38148081605383 139.054641740703
"148" "abr/92" 67.82 13379 24.8485778432828 1.11856978754739 116.447757943835
"149" "mai/92" 16.88 8788 23.6911598859477 1.1771813305903 114.709233673805
"150" "jun/92" 13.02 5736 22.0626098402752 1.4979369376566 101.085663990236
"151" "jul/92" 13.67 4587 21.5148569943833 1.54205358369854 110.565090679227
"152" "ago/92" 9.86 4216 22.8781082741274 1.68996747400018 128.522726607015
"153" "set/92" 36.57 4292 24.1317465389025 1.78982669444921 135.740895868187
"154" "out/92" 92.27 5672 25.1755255291483 1.59806813797377 146.410067263483
"155" "nov/92" 191.67 12272 24.4262038258575 1.4575000530514 129.655598510459
